"Id","ConstructionDate","ServiceStart","ServiceEnd","VesselType","CurrentLocation","Notes","RegistrationNumber","Name","owners"
312,"2020-02-05T00:00:00.000Z","2019-05-28T00:00:00.000Z","2020-02-12T00:00:00.000Z","","current location desc","notes notes notes","111111111111111","","[]"
313,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","adwadawdadaw","aadwadadwdadwawd","111111111111111","","[]"
314,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","location desc","notes","1111111111111","","[]"
315,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","location desc","notes","1111111111","","[]"
234,,,,,,,"#107257-XXXV","Alameda","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""},{""currentowner"":false,""OwnerName"":""Bizont #test 3""}]"
201,,,,,,,,"Alaska","[{""currentowner"":false,""OwnerName"":""British Yukon Navigation Company""},{""currentowner"":false,""OwnerName"":""American Yukon Navigation Company""}]"
4,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","Launch","test 2","(See Lotta Talbot)","121212","Alaska Meat Co Refrigerator #1","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
5,"2017-05-11T00:00:00.000Z","2018-05-10T00:00:00.000Z","2019-05-02T00:00:00.000Z","Launch","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas vel ultrices augue, quis consequat sem. Phasellus vitae cursus libero. Mauris neque ex, laoreet nec faucibus sit amet, ultricies id enim. ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas vel ultrices augue, quis consequat sem. ","12212212","Alice","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
235,,,,,,,,"Alice","[{""currentowner"":false,""OwnerName"":""Northern Commercial Company""},{""currentowner"":false,""OwnerName"":""American Yukon Navigation Company""},{""currentowner"":false,""OwnerName"":""Alaska Railroad""}]"
325,"2017-05-11T00:00:00.000Z","2018-05-10T00:00:00.000Z","2019-05-02T00:00:00.000Z","Launch","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas vel ultrices augue, quis consequat sem. Phasellus vitae cursus libero. Mauris neque ex, laoreet nec faucibus sit amet, ultricies id enim. ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas vel ultrices augue, quis consequat sem. ","12212280","Alice 3","[]"
206,,,,,,,,"Alpha","[]"
202,,,,"Barge",,,,"Alsek","[]"
275,,,,,,,,"Angeline","[{""currentowner"":false,""OwnerName"":""York Company""}]"
6,,,,,,,,"Anglian","[{""currentowner"":false,""OwnerName"":""F. N. Yorke & Company""},{""currentowner"":false,""OwnerName"":""British Yukon Navigation Company""}]"
220,,,,,,,,"Anna Maria","[]"
1,"1900-03-22T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","Launch","location descdadadadw","notes","121245454","ANOTHER BOAT TEST","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""},{""currentowner"":false,""OwnerName"":""Alaska Exploration Company""}]"
316,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","location desc","notes","12121221","ANOTHER BOAT TEST","[]"
317,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","location desc","notes","12121221","ANOTHER BOAT TEST","[]"
318,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","location desc","notes","12121221","ANOTHER BOAT TEST","[]"
7,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z",,,,,"Anson Stager","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""},{""currentowner"":false,""OwnerName"":""Alaska Exploration Company""}]"
292,,,,,,,,"Aquila","[{""currentowner"":false,""OwnerName"":""Ed Barrington""}]"
264,,,,,,,,"Aquilla","[{""currentowner"":false,""OwnerName"":""Ed Barrington""}]"
8,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z",,,,,"Arctic","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
9,,,,,,,,"Arnold","[{""currentowner"":false,""OwnerName"":""Alaska Exploration Company""}]"
280,,,,,,,,"Atlintoo","[{""currentowner"":false,""OwnerName"":""British Yukon Navigation Company""}]"
10,,,,,,,,"Aurora","[]"
11,,,,,,,,"Australian","[]"
12,"1899-01-01T00:00:00.000Z","1899-01-01T00:00:00.000Z","1904-01-01T00:00:00.000Z","Sternwheeler","Put on ways in Whitehorse in 1904, her boiler was put in the Gleaner in 1909. In 1931 she was demolished at Whitehorse, the year after, she was removed from the shipping registry. ","Built/Assembled at Bennet, BC.",,"Bailey ","[{""currentowner"":false,""OwnerName"":""British Yukon Navigation Company""},{""currentowner"":false,""OwnerName"":""Algernon Stacey""}]"
230,,,,"Barge",,,,"Barge Hootalinqua ","[]"
231,,,,"Barge",,,,"Barge Seattle #4","[]"
248,,,,,,,,"Barge Vidette","[]"
13,,,,,,,,"Bear","[]"
14,,,,,,,,"Beaver","[]"
15,,,,,,,,"Bella","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
16,,,,,,,,"Bellingham","[]"
250,,,,,,,,"Birdswell","[]"
329,"2021-06-02T00:00:00.000Z","2021-06-03T00:00:00.000Z","2021-06-04T00:00:00.000Z","Sternwheeler","LOCATION DESC","NOTES","21212121212121212","BIZONT 1","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""},{""currentowner"":false,""OwnerName"":""F. N. Yorke & Company""}]"
204,,,,,,,,"Black Maria","[]"
335,"2021-11-18T00:00:00.000Z","2021-11-20T00:00:00.000Z","2021-11-30T00:00:00.000Z","Launch","test","test","1212123333","Boat 0345","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
322,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","dawdad","dadadww","121212121","BOAT 1","[]"
323,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","dawdad","dadadww","121212121","BOAT 1","[]"
338,"2021-11-24T00:00:00.000Z","2021-11-26T00:00:00.000Z","2021-11-29T00:00:00.000Z","new vessel type","test","test","567567","Boat 567","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""},{""currentowner"":false,""OwnerName"":""Taylor and Drury""}]"
337,"2021-11-18T00:00:00.000Z","2021-11-24T00:00:00.000Z","2021-11-30T00:00:00.000Z","Sternwheeler","test","test","9797","Boat 9797","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
336,"2021-11-18T00:00:00.000Z","2021-11-30T00:00:00.000Z","2021-12-22T00:00:00.000Z","Launch","test","test","121212111","Boat 98788","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
326,"2019-05-14T00:00:00.000Z","2019-08-29T00:00:00.000Z","2016-10-24T00:00:00.000Z","Ferry","Current description","some notes","12345","Boat name","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
320,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","awd","dadwda","","boat name","[]"
321,"1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","1900-01-01T00:00:00.000Z","","current location desc","some notes","","Boat name #1","[]"
330,"2021-08-10T00:00:00.000Z","2021-08-11T00:00:00.000Z","2021-08-11T00:00:00.000Z","Launch","location description","notes","12345","Boat test #123","[{""currentowner"":false,""OwnerName"":""Alaska Commercial Company""}]"
255,,,,,,,,"Brainstorm","[]"
